file_id	speaker	gender	Welsh	lexeme	vowel	vtype	next_cons	Ctype	dur_vwl	dur_cns	breath_dur_ms	brNORM	preasp_dur_ms	PRE_DUR	PRE_DUR_NORM	preNORM	br	pre	PRE	closure_dur_ms	burst_dur_ms	f0_ofst_rt	jitter	shimmer	max_F0	mean_F0	mean_f1_Hz	mean_f2_Hz	mean_f3_Hz	vwl_intensity_dB	zcr_1	zcr_2	zcr_3	zcr_4	zcr_5	zcr_breath	zcr_preasp	ZCR
M2-guto-1	14	M	L1	guto	u	mon	2t	fortis	50	426	0	NA	7	7	1.945910149	1.945910149	2no	1yes	1yes	88	108	-79	0.032	0.168	97	95	351	2066	2714	65	700	600	600	450	300	0	0	0
M4-pwtyn-1	16	M	L1	pwtyn	u	mon	2t	fortis	61	372	0	NA	7	7	1.945910149	1.945910149	2no	1yes	1yes	62	95	-80	0.019	0.095	205	191	470	1764	3150	70	950	800	1033	1450	1900	0	0	0
Chloe-hac-1	3	F	L2	hac	a	mon	3k	fortis	86	315	28	3.33220451	58	86	4.454347296	5.062595033	1yes	1yes	1yes	-167	81	3	0.072	0.411	388	372	622	1807	2996	51	2667	2433	2000	867	1100	0	0	0
Ben-ap-1	1	M	L2	ap	a	mon	1p	fortis	125	152	0	NA	0	0	NA	NA	2no	2no	2no	120	22	18	0.033	0.095	107	103	783	1275	2387	75	1640	1680	1540	1440	1125	0	0	0
Ben-cip-1	1	M	L2	cip	i	mon	1p	fortis	67	108	0	NA	0	0	NA	NA	2no	2no	2no	75	23	34	0.028	0.21	409	185	418	2061	2778	77	850	1167	933	750	750	0	0	0
Ben-twp-1	1	M	L2	twp	w	mon	1p	fortis	95	173	0	NA	0	0	NA	NA	2no	2no	2no	99	64	-8	0.016	0.108	118	110	461	1056	2621	76	867	900	875	825	700	0	0	0
Ben-het-1	1	M	L2	het	e	mon	2t	fortis	169	199	0	NA	0	0	NA	NA	2no	2no	2no	110	79	25	0.052	0.159	132	99	735	1845	2726	72	1583	1186	1257	1457	1050	0	0	0
Ben-gwlyb-1	1	M	L2	gwlyb	y	mon	b	lenis	NA	148	0	NA	0	0	NA	NA	2no	2no	2no	82	56	-24	0.011	0.049	124	108	323	1450	2887	75	714	647	564	627	621	0	0	0
Ben-ruban-1	1	M	L2	ruban	u	mon	b	lenis	NA	288	0	NA	0	0	NA	NA	2no	2no	2no	90	2	-77	0.025	0.259	95	95	367	1680	2710	67	450	750	733	750	600	0	0	0
Ben-bod-1	1	M	L2	bod	o	mon	d	lenis	180	88	0	NA	0	0	NA	NA	2no	2no	2no	19	59	2	0.064	0.141	106	99	489	883	2979	77	929	1057	1186	957	757	0	0	0
Ben-budr-1	1	M	L2	budr	u	mon	d	lenis	80	302	0	NA	0	0	NA	NA	2no	2no	2no	77	39	-79	0.042	0.097	115	110	378	1740	2588	77	667	700	667	700	733	0	0	0
