file_id	speaker	gender	Welsh	lexeme	vowel	next_cons	dur_vwl	dur_cns	breath_dur_ms	preasp_dur_ms	br	pre	closure_dur_ms	burst_dur_ms	f0_ofst_rt	jitter	shimmer	max_F0	mean_F0	mean_f1_Hz	mean_f2_Hz	mean_f3_Hz	vwl_intensity_dB	zcr_1	zcr_2	zcr_3	zcr_4	zcr_5	zcr_breath	zcr_preasp
Ben-ap-1	1	M	L2	ap	a	p	125	152	0	0	2no	2no	120	22	18	0.033	0.095	107	103	783	1275	2387	75	1640	1680	1540	1440	1125	0	0
Ben-bod-1	1	M	L2	bod	o	d	180	88	0	0	2no	2no	19	59	2	0.064	0.141	106	99	489	883	2979	77	929	1057	1186	957	757	0	0
Ben-budr-1	1	M	L2	budr	u	d	80	302	0	0	2no	2no	77	39	-79	0.042	0.097	115	110	378	1740	2588	77	667	700	667	700	733	0	0
Ben-cip-1	1	M	L2	cip	i	p	67	108	0	0	2no	2no	75	23	34	0.028	0.21	409	185	418	2061	2778	77	850	1167	933	750	750	0	0
Ben-cwd-1	1	M	L2	cwd	u	d	185	102	0	0	2no	2no	41	51	-31	0.027	0.064	120	96	414	907	2842	75	886	800	938	829	700	0	0
Ben-digon-1	1	M	L2	digon	i	g	69	223	0	0	2no	2no	153	-54	-77	0.043	0.155	112	108	361	1997	2587	76	700	633	767	867	550	0	0
Ben-gwlyb-1	1	M	L2	gwlyb	wly	b	NA	148	0	0	2no	2no	82	56	-24	0.011	0.049	124	108	323	1450	2887	75	714	647	564	627	621	0	0
Ben-het-1	1	M	L2	het	e	t	169	199	0	0	2no	2no	110	79	25	0.052	0.159	132	99	735	1845	2726	72	1583	1186	1257	1457	1050	0	0
Ben-pedwar-1	1	M	L2	pedwar	e	d	56	341	0	0	2no	2no	48	43	-78	0.036	0.059	112	107	553	1533	2727	73	1200	1150	1150	1100	600	0	0
Ben-ruban-1	1	M	L2	ruban	ru	b	NA	288	0	0	2no	2no	90	2	-77	0.025	0.259	95	95	367	1680	2710	67	450	750	733	750	600	0	0
Ben-siop-1	1	M	L2	siop	oP	none	146	0	0	0	2no	2no	-10	33	10	0.018	0.352	106	94	611	1322	2775	71	1000	1067	883	1017	780	0	0
Ben-twp-1	1	M	L2	twp	w	p	95	173	0	0	2no	2no	99	64	-8	0.016	0.108	118	110	461	1056	2621	76	867	900	875	825	700	0	0
Ben-atatti-1	1	M	L2	atat ti	a	t	65	317	16	0	1yes	2no	25	94	-79	0.034	0.151	125	119	439	1563	2863	77	750	967	950	900	850	950	0
Ben-bwyty-1	1	M	L2	bwyty	wy	t	NA	225	12	0	1yes	2no	19	99	-79	0.029	0.088	126	105	380	1285	2611	75	850	800	825	650	600	300	0
Ben-gwydr-1	1	M	L2	gwydr	wy	d	NA	255	22	0	1yes	2no	101	32	-79	0.014	0.168	123	115	370	1318	2512	76	500	625	800	875	825	867	0
Ben-patrwm-1	1	M	L2	patrwm	a	tr	93	391	31	0	1yes	2no	74	51	-78	0.028	0.138	112	100	696	1134	2374	72	1433	1475	1375	1367	1525	1660	0
Ben-picio-1	1	M	L2	picio	i	kj	63	309	20	0	1yes	2no	73	43	-77	0.065	0.188	135	119	369	2130	2622	73	600	800	950	1467	650	1433	0
Ben-pobl-1	1	M	L2	pobl	o	b	79	263	21	0	1yes	2no	89	12	-80	0.042	0.255	109	107	566	1081	2780	75	1467	1333	1167	1000	700	767	0
Ben-potel-1	1	M	L2	potel	o	t	88	307	31	0	1yes	2no	74	12	-77	0.027	0.205	132	121	585	1163	3020	74	1000	1500	1467	1375	1333	1520	0
Ben-tatws-1	1	M	L2	tatws	a	t	94	303	29	0	1yes	2no	240	49	-72	0.027	0.191	130	120	816	1376	2936	79	1533	1300	1625	1600	1167	1320	0
Ben-tipyn-2	1	M	L2	tipyn	i	p	48	265	12	0	1yes	2no	72	42	-78	0.041	0.24	107	103	369	1927	2472	69	700	850	950	1200	550	800	0
Ben-toc-1	1	M	L2	toc	o	k	144	136	51	0	1yes	2no	67	59	-7	0.011	0.181	116	110	687	1431	2944	76	1200	1183	1233	1050	820	933	0
Ben-bwyty-2	1	M	L2	bwyty	wy	t	NA	326	16	5	1yes	1yes	43	115	-79	0.011	0.071	118	111	362	1250	2646	77	775	640	575	640	575	500	0
